objectid,filename,logo,title,description,website,latitude,longitude,format,subject,hrv,location,language,address,date,institution,provenance,access,Timestamp,Name of Institution,Description of the Institution,Logo or Picture,Origin,Type of Institution,Coverage (Human Rights Violations Vocabulary),Coverage (Keywords),Longitude (if they have a physical location),Lattitude (if they have a physical location),Website of the Institution,Has digitized materials available online?,Languages,Comments or Notes,Country,Physical Address (If available),Date of Establishment
id26,https://lh3.googleusercontent.com/d/1NIUCq5nb_RX65StAeiEoKvZzgGa4BJNO,https://lh3.googleusercontent.com/d/1NIUCq5nb_RX65StAeiEoKvZzgGa4BJNO,Memórias Reveladas,"The Memórias Reveladas database collectively collects information on the archival collection related to political repression in the period 1964-1985, which is saved by different Brazilian public and private entities. Information on these funds and collections organized by the participating entities is displayed in descriptive worksheets that obey the Brazilian standard of archival description. The bank therefore provides an overview of the collection available for consultation in different parts of the country and allows to follow the inventory of documentary sources. As records are inserted, searches by themes, names and/or dates favor the crossing and confrontation of data, as well as the reconstitution of facts and processes. Presented in up to five levels of detail (background or collection, series, subseries, dossier and item), information about the collection is constantly updated. At the same time, documents have been gradually scanned and their images associated with the records. In this way, through digital research, it is now possible to view letters, processes, maps, drawings, photographs, leaflets and pamphlets. (http://pesquisa.memoriasreveladas.gov.br/mrex/Consulta/pagina_inicial.asp)
",https://www.gov.br/memoriasreveladas/pt-br,-22.90635135,-43.18991765,record,Military dictatorship; Libraries and archives network,Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,Brazil; South America,Portuguese,"Praça da República, 173 - Centro, Rio de Janeiro - RJ, 20211-350, Brazil",2/21/2005,"Public Library, Archives, or Museum",Multiple,Yes,4/1/2025 15:17:21,Memórias Reveladas,"The Memórias Reveladas database collectively collects information on the archival collection related to political repression in the period 1964-1985, which is saved by different Brazilian public and private entities. Information on these funds and collections organized by the participating entities is displayed in descriptive worksheets that obey the Brazilian standard of archival description. The bank therefore provides an overview of the collection available for consultation in different parts of the country and allows to follow the inventory of documentary sources. As records are inserted, searches by themes, names and/or dates favor the crossing and confrontation of data, as well as the reconstitution of facts and processes. Presented in up to five levels of detail (background or collection, series, subseries, dossier and item), information about the collection is constantly updated. At the same time, documents have been gradually scanned and their images associated with the records. In this way, through digital research, it is now possible to view letters, processes, maps, drawings, photographs, leaflets and pamphlets. (http://pesquisa.memoriasreveladas.gov.br/mrex/Consulta/pagina_inicial.asp)
",https://drive.google.com/open?id=1NIUCq5nb_RX65StAeiEoKvZzgGa4BJNO,Multiple,"Public Library, Archives, or Museum",Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,Military dictatorship; Libraries and archives network,-22.90635135,-43.18991765,https://www.gov.br/memoriasreveladas/pt-br,Yes,Portuguese,,Brazil; South America,"Praça da República, 173 - Centro, Rio de Janeiro - RJ, 20211-350, Brazil",2/21/2005
id27,https://lh3.googleusercontent.com/d/1q7WHDhKYrN_AjeU953_UvU_Dyilh-A6U,https://lh3.googleusercontent.com/d/1q7WHDhKYrN_AjeU953_UvU_Dyilh-A6U,Comissão Nacional da Verdade,"After the delivery of the Report of the National Truth Commission, on December 10, 2014, a temporary administrative structure was created within the scope of the Civil House of the Presidency of the Republic, by force of  Decree No. 8,378 , of December 15, 2014, which was responsible for organizing the collection produced by the CNV throughout its two years and seven months of activity. 

The National Truth Commission's collection includes thousands of documents, testimonies from victims and family members, statements from agents of political repression, 47 thousand photographs, videos of public hearings, investigations and testimonies, expert reports, books, among others.(https://cnv.memoriasreveladas.gov.br/institucional-acesso-informacao/acervo.html)",https://cnv.memoriasreveladas.gov.br/index.php,-22.90629204,-43.19002495,record,Military Dictatorship; Testimonies,,Brazil; South America,Portuguese,"Praça da República, 173 - Centro, Rio de Janeiro - RJ, 20211-350, Brazil",12/10/2014,"Truth, Reparations, and/or Memorialization Commissions",Multiple,Yes,4/2/2025 16:48:37,Comissão Nacional da Verdade,"After the delivery of the Report of the National Truth Commission, on December 10, 2014, a temporary administrative structure was created within the scope of the Civil House of the Presidency of the Republic, by force of  Decree No. 8,378 , of December 15, 2014, which was responsible for organizing the collection produced by the CNV throughout its two years and seven months of activity. 

The National Truth Commission's collection includes thousands of documents, testimonies from victims and family members, statements from agents of political repression, 47 thousand photographs, videos of public hearings, investigations and testimonies, expert reports, books, among others.(https://cnv.memoriasreveladas.gov.br/institucional-acesso-informacao/acervo.html)",https://drive.google.com/open?id=1q7WHDhKYrN_AjeU953_UvU_Dyilh-A6U,Multiple,"Truth, Reparations, and/or Memorialization Commissions",,Military Dictatorship; Testimonies,-22.90629204,-43.19002495,https://cnv.memoriasreveladas.gov.br/index.php,Yes,Portuguese,,Brazil; South America,"Praça da República, 173 - Centro, Rio de Janeiro - RJ, 20211-350, Brazil",12/10/2014
id28,https://lh3.googleusercontent.com/d/1n-He7_Zel7LNCqz4cz-ItNCO5rmMIR_j,https://lh3.googleusercontent.com/d/1n-He7_Zel7LNCqz4cz-ItNCO5rmMIR_j,National Security Archive,"Founded in 1985 by journalists and scholars to check rising government secrecy, the National Security Archive combines a unique range of functions: investigative journalism center, research institute on international affairs, library and archive of declassified U.S. documents (""the world's largest nongovernmental collection"" according to the Los Angeles Times), leading non-profit user of the U.S. Freedom of Information Act, public interest law firm defending and expanding public access to government information, global advocate of open government, and indexer and publisher of former secrets. (https://nsarchive.gwu.edu/about)",https://nsarchive.gwu.edu/,38.89953251,-77.04732952,record,US Intelligence; Declassified Military documents; US Freedom of Information Act; FOIA,Torture; Genocide,United States; North America,,"Suite 700, Gelman Library The George Washington University 2130 H Street, NW Washington, D.C., 20037, USA",1/1/1985,University or Research Institute,As bureaucratic records during the abuse,Partial,4/2/2025 17:04:34,National Security Archive,"Founded in 1985 by journalists and scholars to check rising government secrecy, the National Security Archive combines a unique range of functions: investigative journalism center, research institute on international affairs, library and archive of declassified U.S. documents (""the world's largest nongovernmental collection"" according to the Los Angeles Times), leading non-profit user of the U.S. Freedom of Information Act, public interest law firm defending and expanding public access to government information, global advocate of open government, and indexer and publisher of former secrets. (https://nsarchive.gwu.edu/about)",https://drive.google.com/open?id=1n-He7_Zel7LNCqz4cz-ItNCO5rmMIR_j,As bureaucratic records during the abuse,University or Research Institute,Torture; Genocide,US Intelligence; Declassified Military documents; US Freedom of Information Act; FOIA,38.89953251,-77.04732952,https://nsarchive.gwu.edu/,Partial,,,United States; North America,"Suite 700, Gelman Library The George Washington University 2130 H Street, NW Washington, D.C., 20037, USA",1/1/1985
id29,https://lh3.googleusercontent.com/d/1HhYsM7MrBuslurn00r8Wjzg117q7jbWg,https://lh3.googleusercontent.com/d/1HhYsM7MrBuslurn00r8Wjzg117q7jbWg,Center for Human Rights Documentation and Research,"The Center for Human Rights Documentation & Research holds the archives of organizations and of individuals who have played significant roles in human rights advocacy, education and research.  Columbia's Rare Book & Manuscript Library manages these archives and provides access to these collections for researchers. (https://library.columbia.edu/libraries/chrdr/collections.html)
",https://library.columbia.edu/libraries/chrdr.html,40.80642099,-73.96311334,record,Human Rights Advocacy; Human Rights Organizations; Amnesty International USA; Physicians for Human Rights; Human Rights Watch; Human Rights First,,United States; North America,,"535 West 114th St. New York, NY 10027, USA",1/1/2005,University or Research Institute,"During process of pacification, transition, and establishing accountability",No,4/2/2025 17:21:57,Center for Human Rights Documentation and Research,"The Center for Human Rights Documentation & Research holds the archives of organizations and of individuals who have played significant roles in human rights advocacy, education and research.  Columbia's Rare Book & Manuscript Library manages these archives and provides access to these collections for researchers. (https://library.columbia.edu/libraries/chrdr/collections.html)
",https://drive.google.com/open?id=1HhYsM7MrBuslurn00r8Wjzg117q7jbWg,"During process of pacification, transition, and establishing accountability",University or Research Institute,,Human Rights Advocacy; Human Rights Organizations; Amnesty International USA; Physicians for Human Rights; Human Rights Watch; Human Rights First,40.80642099,-73.96311334,https://library.columbia.edu/libraries/chrdr.html,No,,,United States; North America,"535 West 114th St. New York, NY 10027, USA",1/1/2005
id30,https://lh3.googleusercontent.com/d/1ZnKE8EmfQXWkEmxJ9jjqEgzLFkJSXpSf,https://lh3.googleusercontent.com/d/1ZnKE8EmfQXWkEmxJ9jjqEgzLFkJSXpSf,Mémorial de la Shoah Archives,"The Holocaust Memorial was created during the war, with the clandestine creation of an archive to gather evidence of the persecution of the Jews. The Centre de documentation Juive Contemporaine later doubles as the Mémorial du Martyr Juif Inconnu. Archive centre, museum, the Memorial is today an essential place of mediation for transmission. (https://www.memorialdelashoah.org/en/le-memorial/qui-sommes-nous/histoire-du-memorial-de-la-shoah.html)",https://www.memorialdelashoah.org/,48.85516954,2.357921814,record,Holocaust; French Jews; Centre de documentation juive contemporaine,Genocide;,France; Europe,French,"17 Rue Geoffroy l'Asnier, 75004 Paris, France",4/28/1943,Human Rights and Non-government Organizations,"Emerged as an urgent, pragmatic, solidary reaction",Yes,4/11/2025 0:03:36,Mémorial de la Shoah Archives,"The Holocaust Memorial was created during the war, with the clandestine creation of an archive to gather evidence of the persecution of the Jews. The Centre de documentation Juive Contemporaine later doubles as the Mémorial du Martyr Juif Inconnu. Archive centre, museum, the Memorial is today an essential place of mediation for transmission. (https://www.memorialdelashoah.org/en/le-memorial/qui-sommes-nous/histoire-du-memorial-de-la-shoah.html)",https://drive.google.com/open?id=1ZnKE8EmfQXWkEmxJ9jjqEgzLFkJSXpSf,"Emerged as an urgent, pragmatic, solidary reaction",Human Rights and Non-government Organizations,Genocide;,Holocaust; French Jews; Centre de documentation juive contemporaine,48.85516954,2.357921814,https://www.memorialdelashoah.org/,Yes,French,,France; Europe,"17 Rue Geoffroy l'Asnier, 75004 Paris, France",4/28/1943
id31,https://lh3.googleusercontent.com/d/17NSV97a5wHWpgLowPi8MRVt3S-SxYfWf,https://lh3.googleusercontent.com/d/17NSV97a5wHWpgLowPi8MRVt3S-SxYfWf,Centro de Documentación y Archivo para la Defensa de los Derechos Humanos,"With the aim of promoting the recovery of citizens' historical memory and the development of the Administration of Justice in our country, the Supreme Court of Justice considered the creation of the Museum of Justice, Documentation Center, and Archive for the Defense of Human Rights as an effective instrument for promoting education in values ​​and protecting the present and future of the country from practices that violate human rights and the institutions of the Republic, as recognized in the principles of the National Constitution and in the Mission and Vision of this institution. (https://www.pj.gov.py/contenido/132-museo-de-la-justicia/132)",https://www.pj.gov.py/contenido/132-museo-de-la-justicia/132,-25.28711114,-57.65539092,record,Archives of Terror; Plan Condor; UNESCO Memory of the World,Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,Paraguay; South America,Spanish,"Testanova, Asunción 001004, Paraguay",12/22/1992,Tribunals and other courts,As bureaucratic records during the abuse,No,4/14/2025 15:57:51,Centro de Documentación y Archivo para la Defensa de los Derechos Humanos,"With the aim of promoting the recovery of citizens' historical memory and the development of the Administration of Justice in our country, the Supreme Court of Justice considered the creation of the Museum of Justice, Documentation Center, and Archive for the Defense of Human Rights as an effective instrument for promoting education in values ​​and protecting the present and future of the country from practices that violate human rights and the institutions of the Republic, as recognized in the principles of the National Constitution and in the Mission and Vision of this institution. (https://www.pj.gov.py/contenido/132-museo-de-la-justicia/132)",https://drive.google.com/open?id=17NSV97a5wHWpgLowPi8MRVt3S-SxYfWf,As bureaucratic records during the abuse,Tribunals and other courts,Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced disappearance,Archives of Terror; Plan Condor; UNESCO Memory of the World,-25.28711114,-57.65539092,https://www.pj.gov.py/contenido/132-museo-de-la-justicia/132,No,Spanish,,Paraguay; South America,"Testanova, Asunción 001004, Paraguay",12/22/1992
id32,https://lh3.googleusercontent.com/d/1YdfHYIjZOuBHuhPbvQKzuTQUMEmt_r7U,https://lh3.googleusercontent.com/d/1YdfHYIjZOuBHuhPbvQKzuTQUMEmt_r7U,Archivo Histórico de la Policía Nacional de Guatemala,"In July 2005, in an abandoned warehouse in downtown Guatemala City, Guatemala, delegates from the country's Institution of the Procurator for Human Rights uncovered, by sheer chance, a vast archive detailing the history of the defunct National Police and its role in the Guatemalan Civil War. Over five rooms full of files containing names, address, identity documents, were brought to light. (Wikipedia: https://en.wikipedia.org/wiki/Guatemala_National_Police_Archives).

Als, read more here: https://www.bostonreview.net/articles/kirsten-weld-recovering-democracy-through-archives/",https://mcd.gob.gt/,14.64295169,-90.51229443,record,Guatemalan Civil War; Dirty War,Genocide;,Guatemala; Central America,Spanish,"JFVP+4P7 Palacio Nacional de la Cultura, Cdad. de Guatemala, Guatemala",7/1/2009,Other government agencies,As bureaucratic records during the abuse,No,4/14/2025 16:49:41,Archivo Histórico de la Policía Nacional de Guatemala,"In July 2005, in an abandoned warehouse in downtown Guatemala City, Guatemala, delegates from the country's Institution of the Procurator for Human Rights uncovered, by sheer chance, a vast archive detailing the history of the defunct National Police and its role in the Guatemalan Civil War. Over five rooms full of files containing names, address, identity documents, were brought to light. (Wikipedia: https://en.wikipedia.org/wiki/Guatemala_National_Police_Archives).

Als, read more here: https://www.bostonreview.net/articles/kirsten-weld-recovering-democracy-through-archives/",https://drive.google.com/open?id=1YdfHYIjZOuBHuhPbvQKzuTQUMEmt_r7U,As bureaucratic records during the abuse,Other government agencies,Genocide;,Guatemalan Civil War; Dirty War,14.64295169,-90.51229443,https://mcd.gob.gt/,No,Spanish,,Guatemala; Central America,"JFVP+4P7 Palacio Nacional de la Cultura, Cdad. de Guatemala, Guatemala",7/1/2009
id33,https://lh3.googleusercontent.com/d/17SW2iNjWxQtm1KBmq5ZntpUSzowTWAIw,https://lh3.googleusercontent.com/d/17SW2iNjWxQtm1KBmq5ZntpUSzowTWAIw,Digital Archive of the Archivo Histórico de la Policía Nacional de Guatemala,"The Digital Archive of the Archivo Histórico de la Policía Nacional de Guatemala (Guatemalan National Police Historical Archive, or AHPN) aims to facilitate scholarly and legal research into a vast cache of historical documentation about Guatemalan history. This site currently includes around 20 million scanned images of documents from the AHPN, of an estimated 80 million total. This digital archive mirrors the structure and the arrangement of the physical archive that remains preserved in Guatemala as an important historical patrimony of the Guatemalan people. We hope this resource will serve to promote a better understanding of the social and political history of Guatemala and will facilitate the search for truth and respect for human rights in the region. (https://ahpn.lib.utexas.edu/about/)",https://ahpn.lib.utexas.edu/,30.28550724,-97.73490407,record,Guatemalan Civil War; Dirty War,Genocide;,United States; North America,Spanish,https://ahpn.lib.utexas.edu/,12/1/2011,University or Research Institute,As bureaucratic records during the abuse,Yes,4/14/2025 16:54:37,Digital Archive of the Archivo Histórico de la Policía Nacional de Guatemala,"The Digital Archive of the Archivo Histórico de la Policía Nacional de Guatemala (Guatemalan National Police Historical Archive, or AHPN) aims to facilitate scholarly and legal research into a vast cache of historical documentation about Guatemalan history. This site currently includes around 20 million scanned images of documents from the AHPN, of an estimated 80 million total. This digital archive mirrors the structure and the arrangement of the physical archive that remains preserved in Guatemala as an important historical patrimony of the Guatemalan people. We hope this resource will serve to promote a better understanding of the social and political history of Guatemala and will facilitate the search for truth and respect for human rights in the region. (https://ahpn.lib.utexas.edu/about/)",https://drive.google.com/open?id=17SW2iNjWxQtm1KBmq5ZntpUSzowTWAIw,As bureaucratic records during the abuse,University or Research Institute,Genocide;,Guatemalan Civil War; Dirty War,30.28550724,-97.73490407,https://ahpn.lib.utexas.edu/,Yes,Spanish,,United States; North America,https://ahpn.lib.utexas.edu/,12/1/2011
id34,https://lh3.googleusercontent.com/d/1TrKoVQOIS_5qFH4keMZhXkuQ5cCI1TTW,https://lh3.googleusercontent.com/d/1TrKoVQOIS_5qFH4keMZhXkuQ5cCI1TTW,Tuol Sleng Genocide Museum Archives,"The S-21 prison produced a large amount of documentation (lists, confessions, biographies, photographs, etc.). The vast majority of documents comprising the Tuol Sleng Genocide Museum  Archives were already on the premises when S-21 was discovered in January 1979. However, more documents were acquired after the former prison was established as a museum that same year. Most documents originated from S-21, while records show that some were created outside of the S-21 apparatus. As many documents were lost or taken away in the first months of 1979 and in the years that followed, Tuol Sleng Genocide Museum does not know how many documents originally belonged to S-21 and later to the museum. Such information may become clear through future research projects. (https://archives.tuolsleng.gov.kh/About)",https://archives.tuolsleng.gov.kh/,11.54906122,104.9182866,record,S-21 Prison; Khmer Rouge; UNESCO Memory of the World,Genocide,Cambodia; Southeast Asia,Khmer,"Tuol Sleng Genocide Museum, St.113, Boeung Keng Kang III, Boeung Keng Kang, 12304 Phnom Penh, Cambodia",8/1/1979,"Public Library, Archives, or Museum",As bureaucratic records during the abuse,Yes,4/15/2025 17:07:19,Tuol Sleng Genocide Museum Archives,"The S-21 prison produced a large amount of documentation (lists, confessions, biographies, photographs, etc.). The vast majority of documents comprising the Tuol Sleng Genocide Museum  Archives were already on the premises when S-21 was discovered in January 1979. However, more documents were acquired after the former prison was established as a museum that same year. Most documents originated from S-21, while records show that some were created outside of the S-21 apparatus. As many documents were lost or taken away in the first months of 1979 and in the years that followed, Tuol Sleng Genocide Museum does not know how many documents originally belonged to S-21 and later to the museum. Such information may become clear through future research projects. (https://archives.tuolsleng.gov.kh/About)",https://drive.google.com/open?id=1TrKoVQOIS_5qFH4keMZhXkuQ5cCI1TTW,As bureaucratic records during the abuse,"Public Library, Archives, or Museum",Genocide,S-21 Prison; Khmer Rouge; UNESCO Memory of the World,11.54906122,104.9182866,https://archives.tuolsleng.gov.kh/,Yes,Khmer,,Cambodia; Southeast Asia,"Tuol Sleng Genocide Museum, St.113, Boeung Keng Kang III, Boeung Keng Kang, 12304 Phnom Penh, Cambodia",8/1/1979
id35,https://lh3.googleusercontent.com/d/12HEkoAseHEc0DKZOUUZenZx9pwuG8_c4,https://lh3.googleusercontent.com/d/12HEkoAseHEc0DKZOUUZenZx9pwuG8_c4,Documentation Center of Cambodia (DC-Cam),"The Documentation Center of Cambodia (DC-Cam) is a non-profit, non-governmental organization, duly recognized under Internal Revenue Service code as an active 501(c)(3) organization in the United States, with a headquarters in Phnom Penh, Cambodia, and 19 associated offices or sites in Cambodia that have been officially recognized by the Cambodian Ministry of Interior. (https://www.dccam.org/homepage/our-history/)

",https://www.dccam.org/,11.55894365,104.9289776,record,Khmer Rouge; Khmer Rouge Tribunal; S-21 Prison,Genocide,Cambodia; Southeast Asia,Khmer,"Maison 11, Street 256 Sangkat Chakto Mukh, Khan Daun Penh Phnom Penh, 120207, Cambodia",1/1/1995,Human Rights and Non-government Organizations,As bureaucratic records during the abuse,Partial,4/15/2025 17:36:40,Documentation Center of Cambodia (DC-Cam),"The Documentation Center of Cambodia (DC-Cam) is a non-profit, non-governmental organization, duly recognized under Internal Revenue Service code as an active 501(c)(3) organization in the United States, with a headquarters in Phnom Penh, Cambodia, and 19 associated offices or sites in Cambodia that have been officially recognized by the Cambodian Ministry of Interior. (https://www.dccam.org/homepage/our-history/)

",https://drive.google.com/open?id=12HEkoAseHEc0DKZOUUZenZx9pwuG8_c4,As bureaucratic records during the abuse,Human Rights and Non-government Organizations,Genocide,Khmer Rouge; Khmer Rouge Tribunal; S-21 Prison,11.55894365,104.9289776,https://www.dccam.org/,Partial,Khmer,,Cambodia; Southeast Asia,"Maison 11, Street 256 Sangkat Chakto Mukh, Khan Daun Penh Phnom Penh, 120207, Cambodia",1/1/1995
id36,https://lh3.googleusercontent.com/d/1dRgQFDcDQ_fk9u3vmI9paORlNecrYeu5,https://lh3.googleusercontent.com/d/1dRgQFDcDQ_fk9u3vmI9paORlNecrYeu5,Genocide Studies Program at Yale University,"Founded in January 1998, the Genocide Studies Program at Yale University’s MacMillan Center conducts research, seminars and conferences on comparative, interdisciplinary, and policy issues relating to the phenomenon of genocide, and has provided training to researchers from afflicted regions, including Cambodia, Rwanda, and East Timor. The GSP also maintains research projects on those catastrophes, on the Nazi Holocaust, the genocides in Bosnia and Darfur, and on colonial and indigenous genocides. The Program is an affiliate of the Yale Institute for Biospheric Studies and is sponsored by the Orville H. Schell, Jr. Center for International Human Rights at Yale Law School. (https://macmillan.yale.edu/gsp/about-gsp)",https://macmillan.yale.edu/gsp,41.31452273,-72.9237807,record,Maps and Satellite Images; Databases; Cambodian Genocide Program;,Genocide,United States; North America,,"Henry R. Luce Hall 34 Hillhouse Avenue New Haven, CT 06511, United States",1/1/1998,University or Research Institute,Multiple,Yes,4/15/2025 17:52:18,Genocide Studies Program at Yale University,"Founded in January 1998, the Genocide Studies Program at Yale University’s MacMillan Center conducts research, seminars and conferences on comparative, interdisciplinary, and policy issues relating to the phenomenon of genocide, and has provided training to researchers from afflicted regions, including Cambodia, Rwanda, and East Timor. The GSP also maintains research projects on those catastrophes, on the Nazi Holocaust, the genocides in Bosnia and Darfur, and on colonial and indigenous genocides. The Program is an affiliate of the Yale Institute for Biospheric Studies and is sponsored by the Orville H. Schell, Jr. Center for International Human Rights at Yale Law School. (https://macmillan.yale.edu/gsp/about-gsp)",https://drive.google.com/open?id=1dRgQFDcDQ_fk9u3vmI9paORlNecrYeu5,Multiple,University or Research Institute,Genocide,Maps and Satellite Images; Databases; Cambodian Genocide Program;,41.31452273,-72.9237807,https://macmillan.yale.edu/gsp,Yes,,,United States; North America,"Henry R. Luce Hall 34 Hillhouse Avenue New Haven, CT 06511, United States",1/1/1998
id37,https://lh3.googleusercontent.com/d/1-DqQAsGiDLItK54W9nddyzjGv6p5lf4y,https://lh3.googleusercontent.com/d/1-DqQAsGiDLItK54W9nddyzjGv6p5lf4y,"Cambodia Documentation Commission records, 1985-1990, at Cornell University","Records include reports by David R. Hawk and the Commission on the conflict in Cambodia; annual reports of the Commission; translations of international conventions into Khmer; photographs and miscellaneous papers on ""Cambodia Witness"" photograph exhibit; ""Khmer Rouge Prison Documents,"" photocopies of documents relating to political imprisonment, systematic torture, and extra-judicial execution selected from Khmer Rouge prison archives, in Khmer and English; ""Registry of Confessions"" (photocopy); and oversize proof sheets of photographs of prisoners and guards at the S-21 (Tuol Sleng) prison-execution facility in Phnom Penh.
(https://rmc.library.cornell.edu/EAD/htmldocs/RMM04499.html)",https://rmc.library.cornell.edu/EAD/htmldocs/RMM04499.html,42.44781467,-76.48399599,record,Khmer Rouge; S-21 Prison,Genocide,United States; North America,,"Division of Rare and Manuscript Collections 2B Carl A. Kroch Library, Cornell University Ithaca, NY 14853, United States",,University or Research Institute,"During process of pacification, transition, and establishing accountability",No,4/15/2025 17:57:59,"Cambodia Documentation Commission records, 1985-1990, at Cornell University","Records include reports by David R. Hawk and the Commission on the conflict in Cambodia; annual reports of the Commission; translations of international conventions into Khmer; photographs and miscellaneous papers on ""Cambodia Witness"" photograph exhibit; ""Khmer Rouge Prison Documents,"" photocopies of documents relating to political imprisonment, systematic torture, and extra-judicial execution selected from Khmer Rouge prison archives, in Khmer and English; ""Registry of Confessions"" (photocopy); and oversize proof sheets of photographs of prisoners and guards at the S-21 (Tuol Sleng) prison-execution facility in Phnom Penh.
(https://rmc.library.cornell.edu/EAD/htmldocs/RMM04499.html)",https://drive.google.com/open?id=1-DqQAsGiDLItK54W9nddyzjGv6p5lf4y,"During process of pacification, transition, and establishing accountability",University or Research Institute,Genocide,Khmer Rouge; S-21 Prison,42.44781467,-76.48399599,https://rmc.library.cornell.edu/EAD/htmldocs/RMM04499.html,No,,,United States; North America,"Division of Rare and Manuscript Collections 2B Carl A. Kroch Library, Cornell University Ithaca, NY 14853, United States",
id38,https://lh3.googleusercontent.com/d/1MOP4hs3FRLIspk75U4gPrOhhqslyNx6j,https://lh3.googleusercontent.com/d/1MOP4hs3FRLIspk75U4gPrOhhqslyNx6j,The Marshall Islands Nuclear Claims Tribunal Collection at the Girona Municipal Archives,"In October 2012, Girona City Council signed an agreement with the Nuclear Claims Tribunal of the Republic of the Marshall Islands by which the Girona Municipal Archive assumed the temporary custody and processing of the sound and audiovisual documentation generated by the aforementioned Tribunal.

By virtue of this agreement, the Girona Municipal Archive undertook to digitize and catalog the audio and audiovisual documentation generated by this Court, to preserve the digital copies indefinitely and to guarantee access to them to the Court at all times. The agreement also provided that, once the basic digitization and cataloging of the documents had been carried out, the originals would be returned in the same conditions in which they were received.

The first action on the collection consisted of organizing the documentation and recording in a database all the external information written on the labels and boxes of the cassette and video tapes. The process of digitizing and processing the sound documents and videos began in October 2013, and was completed on February 28, 2014.

Once the processing was completed, the documentation was returned to its place of origin. The Girona Municipal Archive preserves a digital copy of each of the 507 documents corresponding to the cassette tapes and the 62 video documents. (https://www.girona.cat/sgdap/cat/recurs_marshall.php)",https://www.girona.cat/sgdap/movio8/,41.98318023,2.824948982,record,US Nuclear Testing Program; Marshall Islands;,Harms from Nuclear Testing,Spain; Europe,,"Plaça del Vi, 1, 1a i 2a planta, 17004 Girona, Spain",10/1/2012,"Public Library, Archives, or Museum","During process of pacification, transition, and establishing accountability",No,4/18/2025 16:14:48,The Marshall Islands Nuclear Claims Tribunal Collection at the Girona Municipal Archives,"In October 2012, Girona City Council signed an agreement with the Nuclear Claims Tribunal of the Republic of the Marshall Islands by which the Girona Municipal Archive assumed the temporary custody and processing of the sound and audiovisual documentation generated by the aforementioned Tribunal.

By virtue of this agreement, the Girona Municipal Archive undertook to digitize and catalog the audio and audiovisual documentation generated by this Court, to preserve the digital copies indefinitely and to guarantee access to them to the Court at all times. The agreement also provided that, once the basic digitization and cataloging of the documents had been carried out, the originals would be returned in the same conditions in which they were received.

The first action on the collection consisted of organizing the documentation and recording in a database all the external information written on the labels and boxes of the cassette and video tapes. The process of digitizing and processing the sound documents and videos began in October 2013, and was completed on February 28, 2014.

Once the processing was completed, the documentation was returned to its place of origin. The Girona Municipal Archive preserves a digital copy of each of the 507 documents corresponding to the cassette tapes and the 62 video documents. (https://www.girona.cat/sgdap/cat/recurs_marshall.php)",https://drive.google.com/open?id=1MOP4hs3FRLIspk75U4gPrOhhqslyNx6j,"During process of pacification, transition, and establishing accountability","Public Library, Archives, or Museum",Harms from Nuclear Testing,US Nuclear Testing Program; Marshall Islands;,41.98318023,2.824948982,https://www.girona.cat/sgdap/movio8/,No,Spanish; Catalan,,Spain; Europe,"Plaça del Vi, 1, 1a i 2a planta, 17004 Girona, Spain",10/1/2012
